Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
327712,0.96000000,6.72000000,14.00000000,1.87148988,0.31320000,1.82887340,2.70916772,0.32500163,0.79052550,4.05898142,1866.00000000,2.97678328
327713,0.96000000,6.78000000,15.00000000,2.47276974,0.51480001,1.86617875,2.95070672,0.35397753,0.79840916,3.80857921,1866.00000000,2.83053327
327718,0.96000000,7.08000000,31.00000000,6.45135498,1.68840003,1.90312803,3.05329943,0.36628491,0.80160844,3.71420908,1866.00000000,2.75948358
327719,0.96000000,7.14000000,42.00000000,16.19852829,11.06639957,1.93050909,3.25385308,0.39034405,0.80763215,3.54691696,1866.00000000,2.65601158
327720,0.96000000,7.20000000,29.00000000,5.60568905,1.35360003,1.90617764,2.79338551,0.33510470,0.79333347,3.96675611,1866.00000000,2.87946248
327722,0.96000000,7.32000000,32.00000000,6.22177839,1.48679996,2.04857039,2.13950753,0.25666311,0.76952243,4.87345839,1866.00000000,3.15661860
327723,0.96000000,7.38000000,31.00000000,5.09770632,1.03680003,2.16553617,1.89991426,0.22792062,0.75937200,5.36193037,1866.00000000,3.23242044
327724,0.96000000,7.44000000,31.00000000,5.09770632,1.03680003,2.16553617,1.89991426,0.22792062,0.75937200,5.36193037,1866.00000000,3.23242044
327725,0.96000000,7.50000000,31.00000000,5.75316334,1.26719999,2.16553617,1.89991426,0.22792062,0.75937200,5.36193037,1866.00000000,3.23242044
327727,0.96000000,7.62000000,36.00000000,10.93198967,5.50080013,1.98962414,2.71297216,0.32545802,0.79065377,4.05469179,1866.00000000,2.85498452
327728,0.96000000,7.68000000,43.00000000,15.81974125,9.44639969,1.99673247,2.71726489,0.32597297,0.79079837,4.04986572,1866.00000000,2.84952450
327729,0.96000000,7.74000000,31.00000000,6.80789137,2.00519991,1.95172238,2.69030499,0.32273877,0.78988743,4.08042908,1866.00000000,2.89512205
393221,1.02000000,5.10000000,88.00000000,33.50370407,16.78319931,2.03811622,3.69226050,0.44293699,0.81987315,3.24450397,1866.00000000,2.41683507
393222,1.02000000,5.16000000,96.00000000,40.85511398,27.41040039,1.92304051,4.09859514,0.49168238,0.83026761,3.02198386,1866.00000000,2.38743377
393223,1.02000000,5.22000000,96.00000000,39.74020767,27.70560074,1.92007697,4.09316778,0.49103132,0.83013403,3.02466488,1866.00000000,2.39148021
393224,1.02000000,5.28000000,81.00000000,23.39509201,9.67319965,1.97729635,3.37168455,0.40447956,0.81104004,3.45790887,1866.00000000,2.58505368
393225,1.02000000,5.34000000,79.00000000,22.00840759,8.16479969,1.93105674,3.31954503,0.39822471,0.80954343,3.49651480,1866.00000000,2.64324713
393226,1.02000000,5.40000000,75.00000000,21.16810799,7.68240023,2.06217551,3.07028246,0.36832225,0.80213004,3.69919562,1866.00000000,2.63553762
393227,1.02000000,5.46000000,71.00000000,21.46588135,7.83360004,2.03300023,3.04848170,0.36570695,0.80146009,3.71849871,1866.00000000,2.66627240
393229,1.02000000,5.58000000,91.00000000,43.34988785,25.81920052,1.90641236,4.04602146,0.48537546,0.82896799,3.04825735,1866.00000000,2.41588211
393230,1.02000000,5.64000000,94.00000000,40.50537109,22.15080070,1.90954983,4.04920149,0.48575693,0.82904696,3.04664874,1866.00000000,2.41278100
